date,cpi,gas_price,hourly_wage,year,month,month_name,cpi_yoy_pct,gas_yoy_pct,wage_yoy_pct,real_wage,real_wage_index
2004-02-01,186.7,1.6475,15.53,2004,2,February,1.688453159041381,2.1388716676999264,1.63612565445026,8.318157471880022,106.9013206347081
2004-03-01,187.1,1.736,15.56,2004,3,March,1.7400761283306032,2.539870053160076,1.8991486574983618,8.31640833778728,106.87884152859435
2004-04-01,187.4,1.79775,15.59,2004,4,April,2.2925764192139875,13.13719320327249,2.0287958115183358,8.319103521878334,106.91347885538953
2004-05-01,188.2,1.9834,15.63,2004,5,May,2.8977583378895444,32.46952746702287,1.9569471624266255,8.30499468650372,106.73215827577047
2004-06-01,188.9,1.96925,15.67,2004,6,June,3.1676679410158393,31.916532690246502,2.018229166666674,8.295394388565379,106.60877944679726
2004-07-01,189.1,1.91125,15.69,2004,7,July,2.939575394665228,26.363636363636367,1.8831168831168865,8.297197250132205,106.63194903490216
2004-08-01,189.2,1.8780000000000001,15.73,2004,8,August,2.5474254742547275,15.908038882888453,2.0103761348897464,8.313953488372093,106.84729287790698
2004-09-01,189.8,1.86975,15.78,2004,9,September,2.5391680172879516,11.374195854181558,2.3346303501945442,8.314014752370916,106.84808021601684
2004-10-01,190.8,1.9995,15.81,2004,10,October,3.1909140075716547,27.886152862168224,2.529182879377445,8.286163522012577,106.49014838836477
2004-11-01,191.7,1.9794,15.84,2004,11,November,3.621621621621607,30.912698412698415,2.457956015523921,8.262910798122066,106.1913145539906
2004-12-01,191.7,1.841,15.86,2004,12,December,3.3423180592991875,24.492832025966994,2.5210084033613356,8.273343766301513,106.32539449660929
2005-01-01,191.6,1.8308,15.9,2005,1,January,2.8448738593666034,16.481628757754095,2.5145067698259194,8.298538622129437,106.64918776096033
2005-02-01,192.4,1.91,15.93,2005,2,February,3.0530262453133394,15.933232169954481,2.5756600128783003,8.27962577962578,106.40612818347195
2005-03-01,193.1,2.07925,15.97,2005,3,March,3.2068412613575736,19.77246543778801,2.634961439588679,8.270326255825998,106.28661477213879
2005-04-01,193.7,2.2425,16.01,2005,4,April,3.3617929562433257,24.73925740508971,2.6940346375882163,8.265358802271555,106.22277523231803
2005-05-01,193.6,2.1612,16.04,2005,5,May,2.869287991498415,8.964404557829987,2.6231605886116283,8.285123966942148,106.47678848140494
2005-06-01,193.7,2.1555,16.08,2005,6,June,2.541026998411855,9.45791545004444,2.616464582003819,8.301497160557563,106.68720960247806
2005-07-01,194.9,2.29,16.15,2005,7,July,3.067160232681121,19.81687377370831,2.9318036966220484,8.286300667008721,106.49191091585426
2005-08-01,196.1,2.4861999999999997,16.17,2005,8,August,3.6469344608879517,32.38551650692223,2.7972027972028135,8.245792962774095,105.97132362315145
2005-09-01,198.8,2.90325,16.19,2005,9,September,4.741833508956805,55.27476935419173,2.5982256020278927,8.143863179074447,104.66136663732395
2005-10-01,199.1,2.7168,16.28,2005,10,October,4.350104821802936,35.87396849212303,2.972802024035426,8.176795580110499,105.08459944751382
2005-11-01,198.1,2.25675,16.3,2005,11,November,3.3385498174230532,14.01182176417095,2.90404040404042,8.228167592125189,105.74481007067138
2005-12-01,198.1,2.185,16.36,2005,12,December,3.3385498174230532,18.685497012493222,3.1525851197982346,8.258455325593134,106.13405477031802
2006-01-01,199.3,2.3156,16.42,2006,1,January,4.018789144050117,26.480227223071886,3.2704402515723263,8.23883592574009,105.88191482689413
2006-02-01,199.4,2.2800000000000002,16.48,2006,2,February,3.63825363825363,19.371727748691114,3.4526051475204156,8.264794383149448,106.21552156469407
2006-03-01,199.7,2.42475,16.54,2006,3,March,3.4179181771103018,16.616568474209448,3.569192235441454,8.28242363545318,106.44208500250375
2006-04-01,200.7,2.742,16.63,2006,4,April,3.613835828600931,22.274247491638775,3.8725796377264032,8.285999003487794,106.48803406826109
2006-05-01,201.3,2.9067999999999996,16.65,2006,5,May,3.9772727272727293,34.49935221173421,3.802992518703241,8.271236959761548,106.29831874068552
2006-06-01,201.8,2.8845,16.72,2006,6,June,4.1817243159525175,33.820459290187884,3.9800995024875663,8.285431119920712,106.48073587710603
2006-07-01,202.9,2.9806,16.78,2006,7,July,4.104669061056954,30.15720524017467,3.900928792569669,8.27008378511582,106.28349864465254
2006-08-01,203.8,2.95175,16.82,2006,8,August,3.926568077511483,18.725364009331535,4.019789734075441,8.253189401373897,106.06637941609422
2006-09-01,202.8,2.5549999999999997,16.87,2006,9,September,2.012072434607637,-11.995177817962633,4.200123533045086,8.31854043392505,106.90624229536489
2006-10-01,201.9,2.2446,16.93,2006,10,October,1.4063284781516971,-17.380742049469966,3.992628992628977,8.385339276869736,107.76471180039621
2006-11-01,202.0,2.22925,16.98,2006,11,November,1.9687026754164672,-1.218566522654252,4.171779141104293,8.405940594059407,108.02947091584161
2006-12-01,203.1,2.3127500000000003,17.05,2006,12,December,2.5239777889954462,5.846681922196817,4.21760391198045,8.394879369768587,107.8873169005416
2007-01-01,203.437,2.2398,17.09,2007,1,January,2.075765178123423,-3.273449645880122,4.080389768574899,8.400635086046295,107.96128684801683
2007-02-01,204.226,2.27775,17.16,2007,2,February,2.420260782347028,-0.09868421052632304,4.126213592233019,8.402456102553055,107.984689755467
2007-03-01,205.288,2.56275,17.22,2007,3,March,2.798197295943927,5.691308382307447,4.111245465538094,8.388215580063129,107.80167679065504
2007-04-01,205.904,2.8449999999999998,17.27,2007,4,April,2.5929247633283525,3.75638220277168,3.848466626578473,8.387403838682104,107.79124464556298
2007-05-01,206.755,3.146,17.34,2007,5,May,2.709885742672613,8.228980322003586,4.144144144144146,8.386737926531403,107.78268663393872
2007-06-01,207.234,3.056,17.41,2007,6,June,2.692765113974227,5.945571156179574,4.126794258373212,8.401131088527944,107.96766125490988
2007-07-01,207.603,2.9646,17.46,2007,7,July,2.3178905864958077,-0.5368046702006302,4.052443384982118,8.410283088394676,108.0852787531972
2007-08-01,207.667,2.78575,17.5,2007,8,August,1.897448478900876,-5.62378250190565,4.042806183115344,8.426952765725899,108.29951015327424
2007-09-01,208.547,2.80325,17.55,2007,9,September,2.8338264299802685,9.716242661448149,4.030823947836404,8.415369197351197,108.15064320033375
2007-10-01,209.19,2.803,17.58,2007,10,October,3.610698365527476,24.87748373875076,3.8393384524512575,8.403843395955828,108.00251864333856
2007-11-01,210.834,3.08,17.63,2007,11,November,4.373267326732666,38.16305932488506,3.8280329799764257,8.362028894770294,107.46513696794635
2007-12-01,211.445,3.0184,17.68,2007,12,December,4.108813392417532,30.51129607609988,3.6950146627565905,8.361512450046112,107.45849984629574
2008-01-01,212.174,3.04275,17.74,2008,1,January,4.294695655165981,35.84918296276454,3.8033937975424204,8.361062147105676,107.45271274991278
2008-02-01,212.687,3.0275,17.8,2008,2,February,4.142959270611968,32.916255076281395,3.7296037296037365,8.369105775153159,107.55608593849178
2008-03-01,213.448,3.2439999999999998,17.87,2008,3,March,3.9749035501344343,26.582772412447575,3.774680603948899,8.372062516397436,107.59408468338893
2008-04-01,213.942,3.458,17.92,2008,4,April,3.9037609759888126,21.54657293497366,3.763752171395507,8.376101934169073,107.64599751334471
2008-05-01,215.208,3.7657499999999997,17.98,2008,5,May,4.088413823123993,19.69961856325493,3.6908881199538612,8.354708003419947,107.37105207520166
2008-06-01,217.463,4.0542,18.04,2008,6,June,4.935966105947864,32.66361256544501,3.618609994256161,8.295664089983124,106.61224553142374
2008-07-01,219.016,4.0615000000000006,18.1,2008,7,July,5.497512078341837,36.99993253727318,3.6655211912943964,8.264236402819886,106.20835064561493
2008-08-01,218.69,3.7785,18.18,2008,8,August,5.308017162091239,35.63672260612043,3.8857142857142923,8.313137317664273,106.83680380904474
2008-09-01,218.877,3.7026000000000003,18.2,2008,9,September,4.953319875136075,32.08240435209135,3.703703703703698,8.315172448452783,106.86295841956897
2008-10-01,216.995,3.05125,18.25,2008,10,October,3.7310578899565128,8.856582233321442,3.811149032992045,8.410332035300353,108.08590779741469
2008-11-01,213.153,2.1470000000000002,18.31,2008,11,November,1.0999174706166848,-30.292207792207783,3.8570618264322176,8.59007379675632,110.39587027862613
2008-12-01,211.398,1.687,18.39,2008,12,December,-0.02222800255385904,-44.109461966604826,4.015837104072406,8.699230834728807,111.79870877444442
2009-01-01,211.933,1.7882500000000001,18.39,2009,1,January,-0.11358601902212717,-41.229151261194644,3.6640360766629243,8.677270646855375,111.51648604747729
2009-02-01,212.705,1.92275,18.44,2009,2,February,0.008463140671510772,-36.49050371593724,3.5955056179775235,8.669283749794317,111.41384194071603
2009-03-01,212.495,1.9586,18.49,2009,3,March,-0.4464787676623838,-39.62392108508015,3.4695019585897935,8.701381208969622,111.82634444339865
2009-04-01,212.709,2.049,18.52,2009,4,April,-0.5763244243767063,-40.746096009253904,3.3482142857142794,8.706730791832973,111.89509494191594
2009-05-01,213.022,2.2655000000000003,18.53,2009,5,May,-1.015761495855172,-39.83934143264952,3.058954393770863,8.69863206617157,111.79101366290807
2009-06-01,214.79,2.6306000000000003,18.56,2009,6,June,-1.2291746182109153,-35.11420255537466,2.882483370288247,8.64099818427301,111.0503282275711
2009-07-01,214.726,2.5265,18.59,2009,7,July,-1.9587610037622771,-37.79391850301613,2.707182320441981,8.657544964280058,111.26298020500542
2009-08-01,215.445,2.6164,18.67,2009,8,August,-1.4838355663267633,-30.755590842927095,2.695269526952715,8.66578477105526,111.36887459676485
2009-09-01,215.861,2.5540000000000003,18.7,2009,9,September,-1.377942862886472,-31.021444390428343,2.7472527472527375,8.662982196876694,111.33285713954812
2009-10-01,216.509,2.55125,18.74,2009,10,October,-0.22396829420033848,-16.386726751331427,2.6849315068492974,8.655529331344193,111.2370761723531
2009-11-01,217.234,2.6513999999999998,18.8,2009,11,November,1.9145871744709275,23.493246390312027,2.6761332605133914,8.654262224145391,111.2207918649935
2009-12-01,217.347,2.60725,18.84,2009,12,December,2.8141231232083674,54.54949614700653,2.446982055464919,8.668166572347443,111.39948446493393
2010-01-01,217.488,2.715,18.88,2010,1,January,2.6211113889767157,51.824409338738974,2.6644915715062556,8.68093871845803,111.56362649893327
2010-02-01,217.281,2.644,18.91,2010,2,February,2.151336357866529,37.5113769340788,2.5488069414316694,8.703015910272873,111.84735290936621
2010-03-01,217.353,2.7716000000000003,18.92,2010,3,March,2.2861714393279886,41.50924129480242,2.3255813953488635,8.704733774090995,111.8694301435913
2010-04-01,217.403,2.84825,18.96,2010,4,April,2.2067707525304403,39.00683260126891,2.3758099352051865,8.72113080316279,112.0801575875218
2010-05-01,217.29,2.8362000000000003,19.01,2010,5,May,2.003548929218568,25.190907084528803,2.59039395574745,8.748676883427677,112.434167759676
2010-06-01,217.199,2.7315,19.03,2010,6,June,1.1215605940686268,3.8356268531893667,2.5323275862069172,8.76155046754359,112.59961343054066
2010-07-01,217.605,2.72875,19.04,2010,7,July,1.3407784804821077,8.00514545814368,2.4206562668101173,8.749798947634476,112.4485880379587
2010-08-01,217.923,2.7298,19.11,2010,8,August,1.1501775395112546,4.334199663659999,2.3567220139260714,8.769152407042855,112.6973102311367
2010-09-01,218.275,2.705,19.11,2010,9,September,1.1183122472331775,5.912294440093957,2.1925133689839615,8.755010880769671,112.51556952239147
2010-10-01,219.035,2.8005,19.21,2010,10,October,1.1666951489314625,9.769720725134734,2.5080042689434423,8.77028785353939,112.71190249275232
2010-11-01,219.59,2.859,19.21,2010,11,November,1.084544776600338,7.829825752432695,2.1808510638297918,8.748121499157522,112.42703020401659
2010-12-01,220.472,2.9930000000000003,19.23,2010,12,December,1.437793022217937,14.795282385655394,2.070063694267521,8.722196015820604,112.09384723456948
2011-01-01,221.187,3.0948,19.33,2011,1,January,1.7007834915029774,13.988950276243116,2.3834745762711718,8.739211617319281,112.31252430070482
2011-02-01,221.898,3.2110000000000003,19.31,2011,2,February,2.124898173333145,21.444780635400917,2.115282919090422,8.702196504700357,111.83682226743818
